Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
229,Mega Man Xtreme,Disney's Aladdin,Hamtaro: Ham-Ham Heartbreak,Etrian Odyssey II: Heroes of Lagaard,Dementium Remastered,Surfacer+,Frankenstein: The Monster Returns,Iron Commando,Custom Robo,P.N.03,ExerBeat,Lucadian Chronicles,Sniper Elite 4,,Champion Tennis,Tinhead,Poker Face Paul's Blackjack,,,Bulk Slash,Deep Fighter,Command & Conquer: Red Alert,Devil May Cry 2,Asura's Wrath,ENDER LILIES: Quietus of the Knights,Tomb Raider: Legend,Corpse Party: Blood Drive,International Karate,Efera & Jiliora: The Emblem from Darkness,,The Pandora Directive,Penguin-kun Wars,Record Breaker,Thunder Cross,
230,Gremlins 2: The New Batch,The Powerpuff Girls: Paint the Townsville Green,Hamtaro: Rainbow Rescue,TrackMania DS,Spirit Camera: The Cursed Memoir,The Legend of Zelda: Four Swords Anniversary Edition,Freedom Force,Psycho Dream,Custom Robo V2,The Incredible Hulk: Ultimate Destruction,Gold's Gym Cardio Workout,Master Reboot,Ni no Kuni: Wrath of the White Witch,,Alex Kidd BMX Trial,Gods,Bugs Bunny in Double Trouble,,,Elevator Action Returns,Virtua Striker 2,Final Doom,Resident Evil: Code Veronica X,Remember Me,Blasphemous 2,Tomb Raider: Anniversary,Super Meat Boy,Sword of Sodan,Super Momotaro Dentetsu II,,Conquests of the Longbow,Philips Videopac Emulator Pack,Toki no Tabibito,Thunder Cross II,
231,Heiankyo Alien,The Smurfs' Nightmare,Densetsu no Starfy,Cooking Mama 2: Dinner with Friends,Nano Assault EX,UNO,Galaxy 5000,Final Fight,Puyo Puyo Sun 64,Batman: Vengeance,Donkey Kong Barrel Blast,Darksiders: Warmastered Edition,Tales of Vesperia: Definitive Edition,,Comical Machine Gun Joe,King of the Monsters,Gamble Panic,,,Street Fighter Collection,NBA Showtime: NBA on NBC,Doom,Resident Evil Outbreak,DmC: Devil May Cry,Blasphemous,Crash Mind Over Mutant,Grim Fandango Remastered,Cybernoid: The Fighting Machine,Jaseiken Necromancer,,Conquests of Camelot,Pipe Dream,Ankoku Shinwa: Yamato Takeru Densetsu,Haunted Castle,
232,Dragon Warrior III,Tony Hawk's Pro Skater,Densetsu no Starfy 2,Cooking Mama 3: Shop & Chop,"Freakyforms: Your Creations, Alive!",Whack-A-Friend,Ghost Lion,Metal Marines,Wonder Project J2,Batman: Dark Tomorrow,Ratatouille,Brunswick Pro Bowling,Ys VIII: Lacrimosa of Dana,,Marksman Shooting / Trap Shooting,King of the Monsters 2,Chakan: The Forever Man,,,Super Puzzle Fighter II Turbo,NFL Blitz 2000,Duke Nukem: Total Meltdown,Drakengard,Castlevania: Lords of Shadow 2,Ratchet & Clank,Crash of the Titans,Full Throttle Remastered,King's Quest V,J.B. Harold Murder Club,,Freddy Pharkas: Frontier Pharmacist,Ponpoko,Shin Maou Golvellius,Crime Fighters,
233,InfoGenius Productivity Pak,Tony Hawk's Pro Skater 2,Densetsu no Starfy 3,Rayman Raving Rabbids,Pac-Man Party 3D,Word Searcher,Ghoul School,Equinox,Getter Love!!,Batman Begins,WALL-E,EarthBound,Atelier Ryza: Ever Darkness & the Secret Hideout,,Safari Hunt,M-1 Abrams Battle Tank,Champions of Europe,,,Dragon Ball Z: Shin Butouden,Tennis 2K2,Quake II,Drakengard 2,Zone of the Enders HD Collection,Infamous Second Son,Lumines II,Oddworld: New 'n' Tasty,Leisure Suit Larry,Xak: The Art of Visual Stage,,Heart of China,Professional Baseball,Faussete Amour,64th Street: A Detective Story,
234,Kid Niki: Radical Ninja,Trade & Battle: Card Hero,Sabre Wulf,Rayman DS,Cooking Mama: Sweet Shop,Zombie Blaster,Gold Medal Challenge '92,Ghoul Patrol,Dezaemon 3D,Bionicle,Up,Super Metroid,Return to Monkey Island,,Shooting Gallery,LHX Attack Chopper,Cyborg Hunter,,,Bomberman Wars,Toy Story 2: Buzz Lightyear to the Rescue,Alien Trilogy,Siren,Ninja Gaiden Sigma,Shadow of the Colossus,MediEvil: Resurrection,OlliOlli,Zak McKracken and the Alien Mindbenders,Bikkuriman World,,Rise of the Dragon,Punchy,Dragon Slayer II: Xanadu,Rod-Land,
235,Konami GB Collection Vol. 1,Trouballs,DK: King of Swing,Wario: Master of Disguise,Puzzle Bobble Universe,3D Mahjong,Golf,Lupin the Third,64 Oozumou,Bionicle Heroes,Cars 2,The Legend of Zelda: A Link to the Past,WarioWare: Move It!,,Montezuma's Revenge,F-22 Interceptor,Drop Zone,,,Last Gladiators: Digital Pinball,Iron Aces,Alien Resurrection,Fatal Frame III: The Tormented,Ninja Gaiden Sigma 2,Control,Death Jr. II: Root of Evil,OlliOlli 2: Welcome to Olliwood,Police Quest,Terra Cresta II,,Alone in the Dark 2,Pyramid Warp,Metal Gear: Ghost Babel,Avenging Spirit,
236,Konami GB Collection Vol. 2,V-Rally: Championship Edition,Banjo-Kazooie: Grunty's Revenge,Yoshi Touch & Go,Tetris Ultimate,505 Tangram,Gun.Smoke,Phalanx,Jikkyou World Soccer 3,Dance Dance Revolution: Mario Mix,Brave: The Video Game,Super Mario World,Pikmin 1+2,,Nuclear Creature,Air Diver,Excellent Dizzy Collection,,,Capcom Generation 1,Test Drive V-Rally,Die Hard Trilogy,Yakuza,Warriors Orochi 3,Outer Wilds,Infected,CounterSpy,Moonshine Racers,Tower of Druaga,,Alone in the Dark 3,R-Type,Aleste Gaiden,P-47: The Phantom Fighter,
237,Konami GB Collection Vol. 3,Who Wants to Be a Millionaire,Classic NES Series: Super Mario Bros.,DK: Jungle Climber,Cut the Rope: Triple Treat,Absolute Chess,Gyruss,Prince of Persia,J-League Eleven Beat 1997,Turok: Evolution,Tangled,Donkey Kong Country,Travis Strikes Again: No More Heroes,,Sega Chess,Dragon's Fury,F-15 Strike Eagle,,,Capcom Generation 2,Kiss: Psycho Circus: The Nightmare Child,Apocalypse,Yakuza 2,Dynasty Warriors 7,Hades,Brooktown High,Hohokum,Goblins Quest 3,Takin' It to the Hoop,,MegaRace,Rambo,Hole in One Special,Earth Defense Force,
238,Konami GB Collection Vol. 4,Woody Woodpecker,Yoshi Topsy-Turvy,Shin Megami Tensei: Devil Survivor 2,Rayman Origins,Abyss,Hammerin' Harry,Mega Man Soccer,Duke Nukem: Zero Hour,Digimon Rumble Arena 2,101-in-1 Party Megamix,F-Zero,AI: The Somnium Files - nirvanA Initiative,,Double Hawk,Traysia,Fantastic Dizzy,,,Capcom Generation 4,NBA Hoopz,One,Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,Dynasty Warriors 8,Mortal Kombat 11,The Sims 2,Escape Plan,Nuclear War,Stratego,,Abuse,Rastan Saga,King's Valley I,Chimera Beast,
239,Lemmings,World Bowling,Advance Guardian Heroes,Final Fantasy: The 4 Heroes of Light,Rayman 3D,Ace Mathician,Heavy Barrel,Wolfenstein 3D,The New Tetris,Dragon Ball Z: Budokai,Dokapon Kingdom,Metroid Fusion,Shin Megami Tensei V: Vengeance,,Time Soldiers,Arcus Odyssey,Stargate,,,Capcom Generation 5,Incoming,Loaded,Stuntman,Naruto Shippuden: Ultimate Ninja Storm 3,Assassin's Creed Origins,The Sims 2: Castaway,Entwined,Global Gladiators,3x3 Eyes: Sanjiyan Henjou,,Blackthorne,Bomberman,Final Fantasy,City Connection,
240,Little Mermaid,WWF Betrayal,Mega Man Battle Chip Challenge,Zubo,One Piece: Romance Dawn,Alien Havoc,Holy Diver,Doom,Wipeout 64,Dragon Ball Z: Budokai 2,Opoona,Kirby Super Star,Persona 3 Portable,,Desert Strike,Trouble Shooter,Global Gladiators,,,Sega Ages: Phantasy Star Collection,NFL Quarterback Club 2001,Re-Loaded,Stuntman: Ignition,Dragon Ball Xenoverse,Borderlands 3,The Sims 2: Pets,TxK,Ikari Warriors,Private Eye Dol,,Silpheed,Spelunker,L'Empereur,Pang,
241,Looney Tunes,Xtreme Wheels,Scurge: Hive,Bakugan Battle Brawlers,One Piece: Unlimited World Red,Spot the Differences!,Hudson's Adventure Island IV,Super Mario All-Stars + Super Mario World,Star Soldier: Vanishing Earth,Dragon Ball Z: Sagas,"Sakura Wars: So Long, My Love",Mega Man X,Theatrhythm Final Bar Line,,Xenon 2: Megablast,Thunder Force II,Sega Game Pack 4 in 1,,,D-Xhird,Evil Dead: Hail to the King,Disruptor,Aggressive Inline,Guilty Gear Xrd -SIGN-,Bioshock: The Collection,Gangs of London,PixelJunk Shooter Ultimate,Commando,Power Eleven,,Cannon Fodder,Dragon Buster,Rune Worth,Super Pang,
242,Blaster Master Boy,Zebco Fishing!,bit Generations: Dotstream,Beyblade: Metal Fusion,Naruto Powerful Shippuden,Anne's Doll Studio: Antique Collection,Image Fight,Yoshi's Cookie,Doubutsu no Mori,Naruto: Clash of Ninja,Tenchu: Shadow Assassins,Super Mario Galaxy 2,Super Bomberman R,,Super Space Invaders,Pac-Mania,James Pond 3: Operation Starfish,,,Dezaemon 2,Stunt GP,C-12: Final Resistance,The Mark of Kri,Persona 4 Arena,Crash Bandicoot N. Sane Trilogy,Driver 76,Don't Starve: Giant Edition,The Chaos Engine 2,Popful Mail,,Syndicate Wars,Karateka,Digan no Maseki,Puzzle De Pon!,
243,Game Boy Gallery,Devil Children: Black Book,bit Generations: Boundish,Freshly-Picked Tingle's Rosy Rupeeland,Dragon Ball Z: Extreme Butoden,Anne's Doll Studio: Lolita Collection,Indiana Jones and the Last Crusade,Super Scope 6,64 de Hakken! Tamagotchi,Naruto: Clash of Ninja 2,The Sky Crawlers: Innocent Aces,Metroid Prime Trilogy,Teenage Mutant Ninja Turtles: Shredder's Revenge,,Masters of the Universe: The Power of He-Man,Ms. Pac-Man,J. League GG Pro Striker '94,,,Advanced V.G.,4x4 Evolution,Fade to Black,Rise of the Kasai,Persona 4 Arena Ultimax,Spyro Reignited Trilogy,Test Drive Unlimited,VVVVVV,Skidmarks,PC Pachi-Slot,,Magic Carpet,Front Line,Xyzolog,Columns,
244,Mickey Mouse: Magic Wands,Lucky Luke,bit Generations: Dialhex,Dragon Quest Monsters: Joker 2,Sonic Boom: Fire & Ice,Anne's Doll Studio: Princess Collection,Iron Tank,Super Adventure Island,Bakuretsu Muteki Bangaioh,One Piece: Grand Adventure,Manhunt 2,Paper Mario,Torchlight II,,Ferias Frustradas do Pica-Pau,Rolling Thunder 2,Kaitou Saint Tail,,,Assault Suit Leynos 2,Railroad Tycoon II,Flashback,Ape Escape 2,Injustice: Gods Among Us,Dragon Age: Inquisition,Colin McRae Rally 2005 Plus,Retro City Rampage DX,ATR: All Terrain Racing,Pachio-kun: Juuban Shoubu,,Populous II: Trials of the Olympian Gods,Montezuma's Revenge,Topple Zip,Tetris (Sega),
245,Prince of Persia,Harry Potter and the Philosopher's Stone,Rhythm Tengoku,Dokapon Journey,Lego Star Wars: The Force Awakens,Anne's Doll Studio: Tokyo Collection,Isolated Warrior,Super Adventure Island II,Densha de Go! 64,Mortal Kombat: Deadly Alliance,Mushroom Men: The Spore Wars,The Legend of Zelda: Ocarina of Time,Torchlight III,,Impossible Mission,Rolling Thunder 3,Magic Knight Rayearth,,,Psychic Killer Taromaru,Midway's Greatest Arcade Hits Volume 1,Pandemonium! 2,Ape Escape 3,Skate 3,Middle-earth: Shadow of Mordor,World Poker Tour,Skullgirls 2nd Encore,Turbo Outrun,Obocchama-kun,,PowerMonger,The Portopia Serial Murder Case,Haja no Fuuin,Mega Man: The Power Battle,
246,Bubble Ghost,Harry Potter and the Chamber of Secrets,Magical Vacation,Super Dodgeball Brawlers,Lego Batman 3: Beyond Gotham,Aqua Moto Racing,Kid Niki: Radical Ninja,The Magical Quest Starring Mickey Mouse,Rally Challenge 2000,Mortal Kombat: Deception,Baroque,Punch-Out!! (Wii),Advance Wars 1+2: Re-Boot Camp,,Crash Dummies,Midnight Resistance,World Derby,,,Nekketsu Oyako,Sega Tetris,Tail Concerto,Lego Star Wars: The Video Game,SSX,Shadow of the Tomb Raider,World Championship Poker 2,Cosmic Star Heroine,The Lost Patrol,Nazo no Masquerade,,Ultima VII Part Two: Serpent Isle,City Connection,Aquales,Mega Man 2: The Power Fighters,
247,Monster Max,Lego Stunt Rally,Napoleon,Pokemon Ranger: Guardian Signs,Lego Jurassic World,Around the World in 80 Days,Wrath of the Black Manta,Aero the Acro-Bat,Charlie Blast's Territory,Dead to Rights,Disaster: Day of Crisis,Kirby's Adventure,Catherine: Full Body,,Gauntlet,Twin Cobra,Tesserae,,,Nanatsu Kaze no Shima Monogatari,Stupid Invaders,Jersey Devil,Lego Star Wars II: The Original Trilogy,ModNation Racers,Uncharted: The Nathan Drake Collection,Pinball Hall of Fame: The Gottlieb Collection,Reverie,Deluxe Galaga,Monster Lair,,Wing Commander IV: The Price of Freedom,Gauntlet,Body Conquest,1944: The Loop Master,
248,Toxic Crusaders,NBA Jam 99,Alienators: Evolution Continues,Digimon World DS,Lego Marvel Super Heroes: Universe in Peril,Bang Bang Shooting,Mappy,Aero the Acro-Bat 2,Deadly Arts,The Urbz: Sims in the City,Project Zero 2: Wii Edition,Octodad: Dadliest Catch,World of Goo,,Football Manager,Task Force Harrier EX,Cosmic Spacehead,,,Falcom Classics,Worms World Party,40 Winks,Shadow Hearts,Warhawk,Dreams,Pinball Hall of Fame: The Williams Collection,Adventures of Mana,Star Control,Metamor Jupiter,,Privateer 2: The Darkening,Binary Land,Disc Station Special,Bonze Adventure,
249,Batman Forever,NASCAR Heat,Blender Bros.,Digimon World: Dawn,Disney Art Academy,Battle of Giants: Dinosaur Strike,Urban Champion,Tin Star,GT 64: Championship Edition,Cel Damage,Dewy's Adventure,Mario & Sonic at the Sochi 2014 Olympic Winter Games,Human: Fall Flat,,Micro Machines,Panorama Cotton,Crayon Shin-chan,,,Thunder Force Gold Pack 1,Centipede,Gex 3: Deep Cover Gecko,Shadow Hearts: Covenant,Starhawk,Final Fantasy X/X-2 HD Remaster,Taiko no Tatsujin Portable,Super Time Force Ultra,SpeedBall,Maniac Pro Wrestling,,Grand Theft Auto,Monkey Academy,Chase H.Q.,Cleopatra Fortune,
250,Robocop,Mary-Kate and Ashley: Get a Clue!,Broken Sword: The Shadow of the Templars,Worms: Open Warfare,Super Mario Maker for Nintendo 3DS,Cake Ninja 2,Devil World,Addams Family Values,Transformers: Beast Wars Transmetals,Auto Modellista,Marble Saga: Kororinpa,Trine Enchanted Edition,1-2-Switch,,Sapo Xulé: O Mestre do Kung Fu,The Haunting Starring Polterguy,Sonic Blast,,,Thunder Force Gold Pack 2,Max Steel: Covert Missions,Croc 2,Shadow Hearts: From the New World,Medal of Honor,Final Fantasy XII: The Zodiac Age,DJ Max Portable,Little Deviants,Kick Off,Cho Aniki,,Zork Nemesis,Kinnikuman: Muscle Tag Match,Penguin Land,Battle Garegga,
